target_id	length	eff_length	est_counts	tpm
FBtr0114187	445	189.781	0.492778	0.0913859
FBtr0347033	1076	897	0	0
FBtr0114261	1994	1610.92	18.8726	0.412326
FBtr0114196	967	563.855	4.27554	0.266873
FBtr0114201	824	475.783	1.54693	0.114431
FBtr0114198	1110	931	0	0
FBtr0300146	1265	919.793	5.01795	0.192007
FBtr0308947	1051	872	0	0
FBtr0114286	752	507.397	10.2204	0.708925
FBtr0114194	1697	1115.75	1.17753	0.037144
FBtr0114206	834	655	0	0
FBtr0114202	265	86.2066	0	0
FBtr0114205	1088	909	0	0
FBtr0114259	1975	1379.88	0	0
FBtr0114207	1134	882.58	4.81067	0.191837
FBtr0302344	264	85.2271	0	0
FBtr0114274	2099	1525.63	0	0
FBtr0114208	549	333.842	6.20422	0.654074
FBtr0114209	569	353.431	217.78	21.6867
FBtr0114210	559	336.934	22.6572	2.36669
FBtr0114253	540	319.372	428.647	47.2372
FBtr0114284	524	266.164	0	0
FBtr0114214	740	518.646	28.903	1.96134
FBtr0114211	566	345.872	3.24141e-07	3.29837e-08
FBtr0114283	1005	659.708	0	0
FBtr0114216	1012	833	0	0
FBtr0300167	1105	926	0	0
FBtr0300105	615	459.63	2	0.153145
FBtr0114218	506	307.442	0	0
FBtr0304147	435	256	0	0
FBtr0114222	530	263.742	33.0756	4.41377
FBtr0300161	1356	1177	0	0
FBtr0114275	1266	1000.54	15.2178	0.535304
FBtr0114285	462	283	0	0
FBtr0114223	838	604.378	5.60527	0.326413
FBtr0114280	575	352.188	1090.37	108.964
FBtr0114257	1030	851	0	0
FBtr0300134	654	475	0	0
FBtr0114249	668	440.267	3760.29	300.598
FBtr0114262	1942	1763	0	0
FBtr0347010	1428	1249	0	0
FBtr0347034	740	561	0	0
FBtr0302352	348	169	0	0
FBtr0300141	1190	1011	0	0
FBtr0300139	1443	1264	0	0
FBtr0300138	1327	1148	0	0
FBtr0114228	765	543.96	2.81925	0.182409
FBtr0347035	1072	893	0	0
FBtr0300689	1880	1650.94	0	0
FBtr0300690	1802	1613.4	12	0.26177
FBtr0330654	1844	1617.86	0	0
FBtr0078170	5248	4628.08	4787.22	36.4052
FBtr0078171	5391	4755.78	922.13	6.82418
FBtr0078166	5155	4533.38	103.454	0.803168
FBtr0078167	5230	4606.09	0.00527317	4.02921e-05
FBtr0078168	5225	4603.12	92.4273	0.706689
FBtr0078169	5082	4475.36	447.406	3.51848
