transcript_name	Gene_name	RAL-280-Challenged
NM_001007095	CG42637	3.734
NM_001007096	CG42637	3.771
NM_001014453	PNUTS	4.759
NM_001014454	PNUTS	4.803
NM_001014455	PNUTS	4.808
NM_001014460	l(2)s5379	6.041
NM_001014461	CG9967	-1.048
NM_001014462	Rbp9	1.592
NM_001014463	tim	3.929
NM_001014464	for	4.247
NM_001014467	qtc	4.717
NM_001014468	qtc	4.620
NM_001014469	qtc	4.637
NM_001014475	nrv2	1.275
NM_001014476	nrv2	1.480
NM_001014477	ade3	1.867
NM_001014478	Rapgap1	3.338
NM_001014479	Rapgap1	3.633
NM_001014481	kuz	0.096
NM_001014484	CG15279	2.347
NM_001014489	lectin-37Da	6.044
NM_001014490	lectin-37Db	7.678
NM_001014491	ref(2)P	7.463
NM_001014492	CG33511	3.505
NM_001014493	CG33510	3.897
NM_001014497	CG2225	-1.737
NM_001014498	CG1832	4.209
NM_001014499	Nipped-A	0.464
NM_001014500	mim	1.205
NM_001014503	lig	3.994
NM_001014504	CG30372	4.193
NM_001014505	coil	2.234
NM_001014506	coil	2.181
NM_001014507	Acsl	6.643
NM_001014508	Acsl	6.439
NM_001014509	Acsl	6.568
NM_001014510	Acsl	6.619
NM_001014511	Acsl	6.452
NM_001014512	Acsl	6.611
NM_001014513	stmA	4.488
NM_001014515	14-3-3zeta	8.390
NM_001014516	14-3-3zeta	8.625
NM_001014518	psq	1.768
NM_001014519	psq	1.691
NM_001014520	psq	1.581
NM_001014523	cnn	1.506
NM_001014524	Vmat	1.253
NM_001014525	Vmat	1.042
NM_001014526	Vmat	-0.256
NM_001014527	Asx	1.708
NM_001014528	CG33506	2.605
NM_001014529	U3-55K	1.498
NM_001014535	CG15117	4.726
NM_001014536	ena	3.350
NM_001014537	ena	3.268
NM_001014538	CG10737	4.286
NM_001014539	par-1	2.717
NM_001014540	par-1	4.929
NM_001014542	par-1	5.020
NM_001014545	Unc-89	2.095
NM_001014546	CG4065	2.594
NM_001014547	Nop60B	3.421
NM_001014549	slik	4.909
NM_001014551	RpL41	10.552
NM_001014552	zip	6.412
NM_001014553	zip	6.423
NM_001014556	armi	1.597
NM_001014558	CG33514	5.232
NM_001014560	DopEcR	-1.039
NM_001014561	Src64B	0.825
NM_001014562	Src64B	0.929
NM_001014563	Src64B	0.783
NM_001014564	Src64B	0.940
NM_001014565	vn	0.536
NM_001014566	CG33523	5.488
NM_001014567	CG33523	5.477
NM_001014568	CG33523	5.522
NM_001014569	CG33523	5.521
NM_001014571	form3	1.363
NM_001014572	melt	4.160
NM_001014574	Clk	3.011
NM_001014576	Clk	3.029
NM_001014577	h	5.452
NM_001014579	Dhpr	3.472
NM_001014580	Dhpr	3.155
NM_001014581	GlcAT-P	2.259
NM_001014583	btl	-0.731
NM_001014584	RecQ5	0.840
NM_001014585	Dcp2	2.260
NM_001014586	fax	1.544
NM_001014587	fax	1.940
NM_001014588	tra	3.252
NM_001014589	scaf6	3.833
NM_001014590	Eip74EF	1.247
NM_001014591	Mi-2	3.832
NM_001014593	Pka-R1	3.238
NM_001014594	Pka-R1	3.411
NM_001014595	Pka-R1	3.076
NM_001014596	Pka-R1	3.110
NM_001014597	Pka-R1	3.062
NM_001014598	Pka-R1	2.949
NM_001014600	CG14457	3.289
NM_001014601	jim	3.292
NM_001014604	CG9795	2.611
NM_001014605	Gnf1	1.641
NM_001014606	CG1161	4.217
NM_001014607	CG14667	2.861
NM_001014608	7B2	1.599
NM_001014609	gfzf	1.677
NM_001014610	gfzf	2.207
NM_001014611	bocksbeutel	3.487
NM_001014612	CG8481	3.594
NM_001014613	hth	0.277
NM_001014614	pug	3.050
NM_001014617	CtBP	4.588
NM_001014619	B52	5.989
NM_001014621	trx	1.048
NM_001014623	btsz	3.721
NM_001014624	btsz	3.142
NM_001014625	btsz	2.072
NM_001014626	gish	5.241
NM_001014627	gish	5.620
NM_001014628	gish	4.901
NM_001014629	Dad	4.145
NM_001014631	cpo	-0.661
NM_001014632	cpo	0.117
NM_001014633	Rpb4	2.714
NM_001014634	Rpb4	2.286
NM_001014635	Rpb4	2.252
NM_001014636	Rpb4	2.197
NM_001014637	Rpb4	2.341
NM_001014643	Stat92E	6.567
NM_001014644	CG7956	2.280
NM_001014646	CG33111	3.724
NM_001014647	jar	6.094
NM_001014648	jar	6.145
NM_001014649	jar	6.050
NM_001014650	jar	6.044
NM_001014651	slo	0.400
NM_001014652	slo	0.399
NM_001014653	slo	0.415
NM_001014654	slo	0.422
NM_001014655	slo	0.370
NM_001014656	slo	0.428
NM_001014657	slo	0.437
NM_001014658	slo	0.466
NM_001014659	slo	0.416
NM_001014660	slo	0.417
NM_001014661	slo	0.336
NM_001014662	slo	0.455
NM_001014663	slo	0.422
NM_001014664	slo	0.411
NM_001014665	Ssadh	6.316
NM_001014666	Ssadh	6.329
NM_001014667	Ssadh	6.322
NM_001014668	Nf1	-0.782
NM_001014669	scrib	5.317
NM_001014670	scrib	5.320
NM_001014671	Rb97D	3.078
NM_001014672	Rb97D	3.094
NM_001014673	Rb97D	3.081
