transcript_name	Gene_name	RAL-208-Challenged
NM_001007095	CG42637	3.709
NM_001007096	CG42637	3.749
NM_001014453	PNUTS	4.917
NM_001014454	PNUTS	5.009
NM_001014455	PNUTS	5.020
NM_001014460	l(2)s5379	6.714
NM_001014461	CG9967	3.387
NM_001014462	Rbp9	0.865
NM_001014463	tim	4.531
NM_001014464	for	3.976
NM_001014467	qtc	3.324
NM_001014468	qtc	3.219
NM_001014469	qtc	3.244
NM_001014475	nrv2	1.273
NM_001014476	nrv2	1.512
NM_001014477	ade3	1.659
NM_001014478	Rapgap1	3.156
NM_001014479	Rapgap1	3.424
NM_001014481	kuz	0.519
NM_001014484	CG15279	1.458
NM_001014489	lectin-37Da	8.437
NM_001014490	lectin-37Db	8.622
NM_001014491	ref(2)P	7.188
NM_001014492	CG33511	3.169
NM_001014493	CG33510	4.485
NM_001014497	CG2225	-1.243
NM_001014498	CG1832	4.192
NM_001014499	Nipped-A	0.497
NM_001014500	mim	1.343
NM_001014503	lig	3.845
NM_001014504	CG30372	4.006
NM_001014505	coil	2.908
NM_001014506	coil	2.801
NM_001014507	Acsl	5.826
NM_001014508	Acsl	5.625
NM_001014509	Acsl	5.751
NM_001014510	Acsl	5.802
NM_001014511	Acsl	5.638
NM_001014512	Acsl	5.795
NM_001014513	stmA	4.460
NM_001014515	14-3-3zeta	8.472
NM_001014516	14-3-3zeta	8.663
NM_001014518	psq	1.774
NM_001014519	psq	1.694
NM_001014520	psq	1.566
NM_001014523	cnn	1.076
NM_001014524	Vmat	1.184
NM_001014525	Vmat	0.893
NM_001014526	Vmat	-0.284
NM_001014527	Asx	1.529
NM_001014528	CG33506	3.103
NM_001014529	U3-55K	2.109
NM_001014535	CG15117	3.928
NM_001014536	ena	3.016
NM_001014537	ena	2.934
NM_001014538	CG10737	4.354
NM_001014539	par-1	2.127
NM_001014540	par-1	4.567
NM_001014542	par-1	4.654
NM_001014545	Unc-89	1.624
NM_001014546	CG4065	2.599
NM_001014547	Nop60B	4.078
NM_001014549	slik	4.757
NM_001014551	RpL41	10.755
NM_001014552	zip	5.827
NM_001014553	zip	5.839
NM_001014556	armi	2.029
NM_001014558	CG33514	5.312
NM_001014560	DopEcR	-2.295
NM_001014561	Src64B	0.475
NM_001014562	Src64B	0.571
NM_001014563	Src64B	0.423
NM_001014564	Src64B	0.545
NM_001014565	vn	1.000
NM_001014566	CG33523	5.371
NM_001014567	CG33523	5.347
NM_001014568	CG33523	5.371
NM_001014569	CG33523	5.322
NM_001014571	form3	1.454
NM_001014572	melt	3.690
NM_001014574	Clk	2.306
NM_001014576	Clk	2.316
NM_001014577	h	4.933
NM_001014579	Dhpr	3.598
NM_001014580	Dhpr	3.375
NM_001014581	GlcAT-P	1.327
NM_001014583	btl	0.042
NM_001014584	RecQ5	1.055
NM_001014585	Dcp2	2.202
NM_001014586	fax	1.412
NM_001014587	fax	1.782
NM_001014588	tra	3.356
NM_001014589	scaf6	3.817
NM_001014590	Eip74EF	1.288
NM_001014591	Mi-2	3.597
NM_001014593	Pka-R1	3.783
NM_001014594	Pka-R1	3.925
NM_001014595	Pka-R1	3.673
NM_001014596	Pka-R1	3.720
NM_001014597	Pka-R1	3.708
NM_001014598	Pka-R1	3.597
NM_001014600	CG14457	3.050
NM_001014601	jim	3.299
NM_001014604	CG9795	2.431
NM_001014605	Gnf1	2.083
NM_001014606	CG1161	4.280
NM_001014607	CG14667	2.956
NM_001014608	7B2	1.251
NM_001014609	gfzf	2.131
NM_001014610	gfzf	2.424
NM_001014611	bocksbeutel	4.209
