transcript_name	Gene_name	RAL-229-Unchallenged
NM_001007095	CG42637	3.725
NM_001007096	CG42637	3.764
NM_001014453	PNUTS	3.784
NM_001014454	PNUTS	4.701
NM_001014455	PNUTS	4.756
NM_001014460	l(2)s5379	5.097
NM_001014461	CG9967	0.573
NM_001014462	Rbp9	1.325
NM_001014463	tim	3.544
NM_001014464	for	3.503
NM_001014467	qtc	3.534
NM_001014468	qtc	3.447
NM_001014469	qtc	3.463
NM_001014475	nrv2	2.223
NM_001014476	nrv2	2.456
NM_001014477	ade3	1.255
NM_001014478	Rapgap1	1.192
NM_001014479	Rapgap1	1.428
NM_001014481	kuz	-0.634
NM_001014484	CG15279	3.156
NM_001014489	lectin-37Da	3.813
NM_001014490	lectin-37Db	7.376
NM_001014491	ref(2)P	6.813
NM_001014492	CG33511	-0.838
NM_001014493	CG33510	-0.532
NM_001014497	CG2225	0.027
NM_001014498	CG1832	3.341
NM_001014499	Nipped-A	0.904
NM_001014500	mim	1.952
NM_001014503	lig	3.622
NM_001014504	CG30372	3.179
NM_001014505	coil	2.440
NM_001014506	coil	2.340
NM_001014507	Acsl	6.443
NM_001014508	Acsl	6.242
NM_001014509	Acsl	6.367
NM_001014510	Acsl	6.419
NM_001014511	Acsl	6.256
NM_001014512	Acsl	6.411
NM_001014513	stmA	3.778
NM_001014515	14-3-3zeta	8.251
NM_001014516	14-3-3zeta	8.421
NM_001014518	psq	1.747
NM_001014519	psq	1.667
NM_001014520	psq	1.460
NM_001014523	cnn	0.637
NM_001014524	Vmat	1.731
NM_001014525	Vmat	1.558
NM_001014526	Vmat	0.302
NM_001014527	Asx	1.157
NM_001014528	CG33506	3.288
NM_001014529	U3-55K	1.665
NM_001014535	CG15117	2.510
NM_001014536	ena	1.051
NM_001014537	ena	1.022
NM_001014538	CG10737	4.535
NM_001014539	par-1	1.455
NM_001014540	par-1	4.228
NM_001014542	par-1	4.260
NM_001014545	Unc-89	2.503
NM_001014546	CG4065	2.374
NM_001014547	Nop60B	3.701
NM_001014549	slik	4.280
NM_001014551	RpL41	11.483
NM_001014552	zip	4.618
NM_001014553	zip	4.631
NM_001014556	armi	1.412
NM_001014558	CG33514	6.978
NM_001014560	DopEcR	0.010
NM_001014561	Src64B	1.840
NM_001014562	Src64B	1.942
NM_001014563	Src64B	1.813
NM_001014564	Src64B	1.935
NM_001014565	vn	-1.316
NM_001014566	CG33523	5.213
NM_001014567	CG33523	5.237
NM_001014568	CG33523	5.280
NM_001014569	CG33523	5.281
NM_001014571	form3	2.217
NM_001014572	melt	2.136
NM_001014574	Clk	2.348
NM_001014576	Clk	2.367
NM_001014577	h	5.024
NM_001014579	Dhpr	4.251
NM_001014580	Dhpr	3.933
NM_001014581	GlcAT-P	2.581
NM_001014583	btl	-0.011
NM_001014584	RecQ5	2.081
NM_001014585	Dcp2	2.225
NM_001014586	fax	1.871
NM_001014587	fax	2.290
NM_001014588	tra	3.530
NM_001014589	scaf6	2.958
NM_001014590	Eip74EF	0.739
NM_001014591	Mi-2	3.149
NM_001014593	Pka-R1	3.941
NM_001014594	Pka-R1	4.093
NM_001014595	Pka-R1	3.822
NM_001014596	Pka-R1	3.826
NM_001014597	Pka-R1	3.798
NM_001014598	Pka-R1	3.686
NM_001014600	CG14457	3.607
NM_001014601	jim	3.515
NM_001014604	CG9795	2.116
NM_001014605	Gnf1	1.649
NM_001014606	CG1161	5.127
NM_001014607	CG14667	2.353
NM_001014608	7B2	1.900
NM_001014609	gfzf	2.109
NM_001014610	gfzf	2.341
NM_001014611	bocksbeutel	3.211
NM_001014612	CG8481	4.232
NM_001014613	hth	0.559
NM_001014614	pug	4.132
NM_001014617	CtBP	4.478
NM_001014619	B52	5.567
NM_001014621	trx	0.521
NM_001014623	btsz	2.829
NM_001014624	btsz	2.330
NM_001014625	btsz	1.584
NM_001014626	gish	4.093
NM_001014627	gish	4.336
NM_001014628	gish	3.612
NM_001014629	Dad	2.654
NM_001014631	cpo	-0.245
NM_001014632	cpo	0.471
