target_id	length	eff_length	est_counts	tpm
FBtr0114187	445	188.666	3.23433	0.57951
FBtr0347033	1076	897	0	0
FBtr0114261	1994	1591.35	10.2303	0.217317
FBtr0114196	967	576.753	0	0
FBtr0114201	824	467.801	4.51169	0.326023
FBtr0114198	1110	931	0	0
FBtr0300146	1265	909.234	7.35073	0.27329
FBtr0308947	1051	872	0	0
FBtr0114286	752	573	0	0
FBtr0114194	1697	1518	0	0
FBtr0114206	834	481.9	2.27516	0.159597
FBtr0114202	265	86.2066	0	0
FBtr0114205	1088	666.366	3.01742	0.15307
FBtr0114259	1975	1373.5	0	0
FBtr0114207	1134	874.982	0	0
FBtr0302344	264	85.2271	0	0
FBtr0114274	2099	1465.53	13.4883	0.311123
FBtr0114208	549	327.684	3.26055	0.336361
FBtr0114209	569	347.731	181.91	17.6841
FBtr0114210	559	333.088	0	0
FBtr0114253	540	314.107	290.915	31.3082
FBtr0114284	524	263.638	0	0
FBtr0114214	740	510.952	18.8625	1.24792
FBtr0114211	566	340.024	0.020676	0.00205554
FBtr0114283	1005	639.161	23.1686	1.22535
FBtr0114216	1012	626.146	3.47384	0.187544
FBtr0300167	1105	926	0	0
FBtr0300105	615	455.372	2	0.148468
FBtr0114218	506	302.271	16.0034	1.78972
FBtr0304147	435	256	0	0
FBtr0114222	530	260.52	41.9721	5.44613
FBtr0300161	1356	1177	0	0
FBtr0114275	1266	991.404	11.0366	0.376316
FBtr0114285	462	222.114	1.00601	0.153107
FBtr0114223	838	595.349	3.27355	0.185873
FBtr0114280	575	346.378	686.505	66.9982
FBtr0114257	1030	851	0	0
FBtr0300134	654	475	0	0
FBtr0114249	668	432.248	2211.1	172.919
FBtr0114262	1942	1763	0	0
FBtr0347010	1428	1249	0	0
FBtr0347034	740	561	0	0
FBtr0302352	348	169	0	0
FBtr0300141	1190	1011	0	0
FBtr0300139	1443	1264	0	0
FBtr0300138	1327	1148	0	0
FBtr0114228	765	586	0	0
FBtr0347035	1072	893	0	0
FBtr0300689	1880	1641.44	0	0
FBtr0300690	1802	1596.96	7	0.148175
FBtr0330654	1844	1609.22	0	0
FBtr0078170	5248	4594.06	3507.83	25.8114
FBtr0078171	5391	4721.55	248.923	1.78218
FBtr0078166	5155	4501.18	0	0
FBtr0078167	5230	4573.72	0	0
FBtr0078168	5225	4570.38	0	0
FBtr0078169	5082	4443.26	0	0
FBtr0306589	5315	4648.54	4.74427	0.0345002
FBtr0306590	5179	4529.24	0.10167	0.000758819
FBtr0306591	5390	4716.34	1.24685e-07	8.93669e-10
FBtr0306592	5528	4840.99	0	0
FBtr0330655	5281	4622.35	26.3967	0.193044
FBtr0113008	2629	2396.49	47.1078	0.664486
FBtr0309810	2230	2017.76	30.8922	0.517545
FBtr0078163	4350	4029.46	0	0
FBtr0078164	7227	6846.72	0	0
FBtr0113416	4347	4054.45	47.4156	0.395329
FBtr0309225	6150	5886.27	8.31235	0.0477368
FBtr0309227	3917	3618.83	5.13921e-05	4.80062e-07
FBtr0309228	7266	6907.35	20.8101	0.101843
FBtr0309229	7005	6735.63	12.4619	0.0625426
FBtr0309226	6583	6263.52	0	0
FBtr0345732	244	66.2053	0	0
FBtr0345733	207	37.5845	0	0
FBtr0306539	4153	3813.97	10.3513	0.0917456
FBtr0306536	3731	3471.8	2.38447	0.0232171
FBtr0306538	3454	3209.22	283.84	2.9898
FBtr0078100	4040	3695.83	536.138	4.90381
FBtr0306537	3789	3449.31	205.984	2.01869
FBtr0344052	2798	2272.76	256.346	3.81278
FBtr0344053	2686	2167.98	24.1107	0.375945
