target_id	length	eff_length	est_counts	tpm
FBtr0114187	445	189.419	2.55213	0.432648
FBtr0347033	1076	897	0	0
FBtr0114261	1994	1618.44	20.2863	0.402496
FBtr0114196	967	563.572	1	0.056978
FBtr0114201	824	645	0	0
FBtr0114198	1110	931	0	0
FBtr0300146	1265	916.825	67.5843	2.3671
FBtr0308947	1051	872	0	0
FBtr0114286	752	511.506	10.8715	0.682486
FBtr0114194	1697	1518	0	0
FBtr0114206	834	489.651	1.09319	0.0716909
FBtr0114202	265	86.2066	0	0
FBtr0114205	1088	676.885	3.19016	0.15134
FBtr0114259	1975	1383.69	0	0
FBtr0114207	1134	888.433	6.73606	0.243465
FBtr0302344	264	85.2271	0	0
FBtr0114274	2099	1491.04	2	0.0430723
FBtr0114208	549	334.608	6.40311	0.614485
FBtr0114209	569	354.458	305.709	27.6949
FBtr0114210	559	338.186	0	0
FBtr0114253	540	319.198	597.575	60.1158
FBtr0114284	524	267.37	0	0
FBtr0114214	740	519.879	41.6053	2.56982
FBtr0114211	566	346.163	0.00331588	0.000307591
FBtr0114283	1005	648.916	8.03687	0.3977
FBtr0114216	1012	833	0	0
FBtr0300167	1105	926	0	0
FBtr0300105	615	436	0	0
FBtr0114218	506	311.138	0	0
FBtr0304147	435	256	0	0
FBtr0114222	530	264.185	63.7652	7.75054
FBtr0300161	1356	1068.55	2.83342	0.0851478
FBtr0114275	1266	1008.59	13.3159	0.423946
FBtr0114285	462	283	0	0
FBtr0114223	838	606.294	8.1964	0.434106
FBtr0114280	575	352.459	1306.36	119.018
FBtr0114257	1030	851	0	0
FBtr0300134	654	482.652	2.96502	0.197265
FBtr0114249	668	440.538	3814.67	278.055
FBtr0114262	1942	1763	0	0
FBtr0347010	1428	1249	0	0
FBtr0347034	740	561	0	0
FBtr0302352	348	169	0	0
FBtr0300141	1190	1011	0	0
FBtr0300139	1443	1175.78	1.06171	0.028996
FBtr0300138	1327	1148	0	0
FBtr0114228	765	550.605	4.24619	0.247637
FBtr0347035	1072	893	0	0
FBtr0300689	1880	1679.67	0	0
FBtr0300690	1802	1590.24	0	0
FBtr0330654	1844	1645.49	7	0.136603
FBtr0078170	5248	4648.67	747.881	5.16607
FBtr0078171	5391	4777.64	186.486	1.2534
FBtr0078166	5155	4554.86	639.397	4.50767
FBtr0078167	5230	4627.1	0.56376	0.00391239
FBtr0078168	5225	4624.26	62.533	0.434234
FBtr0078169	5082	4494.87	611.198	4.36638
FBtr0306589	5315	4703.75	1.99583e-06	1.3625e-08
FBtr0306590	5179	4583.75	2947.46	20.6483
FBtr0306591	5390	4770.61	1450	9.75999
FBtr0306592	5528	4896.9	581.483	3.81305
FBtr0330655	5281	4675.94	1.31699e-08	9.04419e-11
FBtr0113008	2629	2428.43	36.4391	0.481835
FBtr0309810	2230	2039.46	35.5609	0.559903
FBtr0078163	4350	4112.45	0	0
FBtr0078164	7227	6992.93	14.1119	0.0648014
FBtr0113416	4347	4112.11	33.5498	0.261988
FBtr0309225	6150	5970.34	0.0148409	7.9821e-05
FBtr0309227	3917	3667.29	52.8076	0.462389
FBtr0309228	7266	6921.46	0	0
FBtr0309229	7005	6743.87	0	0
FBtr0309226	6583	6410.18	7.51579	0.0376496
FBtr0345732	244	66.2053	0	0
FBtr0345733	207	37.5845	1	0.854373
FBtr0306539	4153	3817.95	0	0
FBtr0306536	3731	3502.84	0.00304837	2.79449e-05
FBtr0306538	3454	3237.59	0.0487288	0.000483303
FBtr0078100	4040	3729.09	375.784	3.23587
FBtr0306537	3789	3480.21	381.302	3.5182
FBtr0344052	2798	2291.61	216.717	3.03675
FBtr0344053	2686	2184.52	15.6187	0.229585
FBtr0306540	1430	1162.5	737.583	20.3739
FBtr0078101	1841	1567.33	759.689	15.5644
FBtr0302164	1458	1195.03	416.089	11.1805
FBtr0331680	1536	1277.51	291.885	7.33678
FBtr0301733	1694	1385.58	337.28	7.81656
FBtr0306541	1378	1172.24	37	1.01354
FBtr0290323	2225	1895.15	40.5582	0.687212
FBtr0330637	1662	1474.61	41.4418	0.902436
FBtr0078103	6476	5923.08	959	5.19909
FBtr0078104	1583	1423.86	1032.54	23.286
FBtr0330636	1221	1076.93	228.294	6.8071
FBtr0301452	2551	2324.73	2031.17	28.0562
FBtr0089437	2387	2091.53	0	0
FBtr0308091	961	771.923	120.189	4.99975
FBtr0089428	2184	1970.45	359.454	5.8578
FBtr0089429	2293	2023.73	0	0
FBtr0330656	2298	2015.42	7.21307	0.114924
FBtr0089432	2283	2059.92	253.419	3.95044
FBtr0089430	2380	2113.1	701.93	10.6667
FBtr0089431	2380	2111.68	7.59414	0.11548
FBtr0089433	2353	2077.92	1.83961	0.0284285
FBtr0089434	2429	2156.39	211.746	3.15314
FBtr0089435	2309	2037.08	1585.62	24.9946
FBtr0089436	1971	1706.19	0	0
FBtr0306542	657	478	0	0
FBtr0330638	678	499	0	0
FBtr0330639	586	407	0	0
FBtr0336838	818	639	0	0
FBtr0078160	1124	945	0	0
FBtr0100307	2749	2419.73	41.6839	0.55317
FBtr0078157	2742	2443.82	0	0
FBtr0100308	2885	2570.49	45.5168	0.568607
FBtr0100309	2597	2305.96	0	0
FBtr0330646	2457	2191.5	0.00447549	6.55776e-05
FBtr0078158	2656	2380.42	0	0
FBtr0078156	2456	2189.92	145.514	2.1337
FBtr0078159	4008	3641.42	0	0
FBtr0100310	2505	2257.76	189.28	2.69206
FBtr0078154	2778	2552.67	5583.71	70.24
FBtr0100379	2864	2624.73	14901.7	182.309
FBtr0078153	2759	2524.4	24.1925	0.307736
FBtr0078155	2845	2596.46	83.4382	1.03191
FBtr0344032	1062	825.321	56.9424	2.21549
FBtr0300568	1699	1644.03	2017.63	39.4084
FBtr0078114	2176	2017.55	2343.26	37.2952
FBtr0078115	2396	2241.38	253.107	3.62615
FBtr0336836	727	471.107	1	0.0681611
FBtr0336837	502	323	0	0
FBtr0346127	1014	834.729	1.02173	0.039305
FBtr0302194	2206	2065.58	0	0
FBtr0302196	2206	2065.58	0	0
FBtr0302195	1335	1191.46	266.978	7.19535
FBtr0330644	1380	1230.94	4812.47	125.542
FBtr0300987	1838	1662.65	0	0
FBtr0330645	1908	1719.84	500.534	9.34548
FBtr0078116	905	791.596	622	25.2315
FBtr0301929	5305	5468.79	93	0.546069
FBtr0330643	5299	5464.27	0	0
FBtr0078147	1699	1505.63	172	3.66831
FBtr0330641	869	661.825	0	0
FBtr0330642	798	600.496	15.4675	0.827116
FBtr0078117	486	308.539	743.922	77.4236
FBtr0078118	623	445.204	1227.81	88.5581
FBtr0301886	568	389	0	0
FBtr0301887	507	328.706	423.709	41.392
FBtr0330640	415	237.943	28.093	3.79124
FBtr0340650	1381	1209.74	42.1132	1.11785
FBtr0078119	1261	1094.83	848.887	24.8976
FBtr0091612	769	591.282	203	11.0245
FBtr0078122	17880	17701	0	0
FBtr0306341	17963	17784	0	0
FBtr0330652	20622	20735.3	35.9133	0.0556162
FBtr0332336	19571	19541.2	150.95	0.248049
FBtr0078121	19604	19536.2	884.839	1.45439
FBtr0332337	17143	16964	0	0
FBtr0078123	18859	18927	11.0796	0.0187974
FBtr0330653	18434	18508.1	1047.22	1.8169
FBtr0078124	903	746.295	640	27.5376
FBtr0308246	1290	1122.29	22	0.629466
FBtr0078146	1259	1089.16	5.86928e-08	1.73041e-09
FBtr0332338	3129	2959.09	0	0
FBtr0078125	2902	2793.45	812.66	9.34168
FBtr0332339	3121	2975.55	16.3398	0.176334
FBtr0078145	8225	8201.89	2341.67	9.16785
FBtr0078144	17943	18297.6	104.076	0.182647
FBtr0299837	18528	18902	50.1006	0.0851121
FBtr0308253	18006	18358	3.61252e-07	6.3189e-10
FBtr0308254	17733	18062.2	7.29878e-06	1.29758e-08
FBtr0308255	17731	17734.7	0	0
FBtr0336984	400	221	0	0
FBtr0336985	1190	1038.55	3	0.0927574
FBtr0336986	552	362.081	0.980786	0.0869809
FBtr0309764	88	8.89679	0	0
FBtr0078126	1660	1463.35	1.17578	0.0258008
FBtr0304343	107	10.4162	0	0
FBtr0304344	22	5.60924	0	0
FBtr0336987	904	725	0	0
FBtr0336990	1105	962.005	0	0
FBtr0078143	981	844.945	229	8.70289
FBtr0336989	1799	1770.07	29.0073	0.526228
FBtr0078140	1726	1680.59	429.305	8.20277
FBtr0078141	1753	1707.89	43.6872	0.821394
FBtr0308252	7557	7343.36	6.4934	0.0283944
FBtr0336988	754	557.983	0.506601	0.0291542
FBtr0078142	4040	3861	0	0
FBtr0078127	2417	2275.07	3	0.042343
FBtr0078139	1756	1660.95	448	8.66121
FBtr0343777	859	663.699	24.7914	1.19946
FBtr0078128	830	640.341	318.209	15.9572
FBtr0300804	2110	2020.48	273.399	4.34509
FBtr0330648	2104	2016.3	0	0
FBtr0330649	2095	1999.93	44.0878	0.707878
FBtr0330650	3132	3033.64	3.77351	0.0399428
FBtr0078129	4008	3757.45	264.701	2.26214
FBtr0343780	1378	1173.05	197.148	5.39675
FBtr0343779	1077	929.873	222.891	7.69707
FBtr0078137	1151	981.572	0	0
FBtr0078136	1341	1144.55	3310.57	92.8804
