target_id	length	eff_length	est_counts	tpm
FBtr0114187	445	194.402	13.824	3.16508
FBtr0347033	1076	897	0	0
FBtr0114261	1994	1610	30.571	0.845155
FBtr0114196	967	568.597	22.0647	1.72721
FBtr0114201	824	478.302	6.75423	0.628529
FBtr0114198	1110	931	0	0
FBtr0300146	1265	928.652	3.43791	0.164776
FBtr0308947	1051	872	0	0
FBtr0114286	752	506.09	6.11624	0.537909
FBtr0114194	1697	1518	0	0
FBtr0114206	834	496.063	6.22235	0.558303
FBtr0114202	265	86.2066	0	0
FBtr0114205	1088	681.897	4.01312	0.261948
FBtr0114259	1975	1407.31	0	0
FBtr0114207	1134	885.449	0	0
FBtr0302344	264	85.2271	0	0
FBtr0114274	2099	1502.83	3.35604	0.0993961
FBtr0114208	549	331.816	6.0495	0.811473
FBtr0114209	569	349.918	115.963	14.7505
FBtr0114210	559	334.498	25.7315	3.42392
FBtr0114253	540	315.981	1045.56	147.279
FBtr0114284	524	268.449	0	0
FBtr0114214	740	513.985	50.1297	4.34107
FBtr0114211	566	342.712	7.29936e-05	9.47997e-06
FBtr0114283	1005	651.911	16.7828	1.14585
FBtr0114216	1012	833	0	0
FBtr0300167	1105	926	0	0
FBtr0300105	615	436	0	0
FBtr0114218	506	303.882	0	0
FBtr0304147	435	256	0	0
FBtr0114222	530	265.96	184.749	30.9184
FBtr0300161	1356	1177	0	0
FBtr0114275	1266	1004.2	27.6834	1.22702
FBtr0114285	462	225.947	3.01163	0.593263
FBtr0114223	838	601.112	1.59299	0.117953
FBtr0114280	575	349.023	2196.55	280.117
FBtr0114257	1030	654.397	1.17869	0.08017
FBtr0300134	654	475	0	0
FBtr0114249	668	436.142	4159.95	424.533
FBtr0114262	1942	1763	0	0
FBtr0347010	1428	1249	0	0
FBtr0347034	740	561	0	0
FBtr0302352	348	169	0	0
FBtr0300141	1190	1011	0	0
FBtr0300139	1443	1264	0	0
FBtr0300138	1327	1148	0	0
FBtr0114228	765	543.702	15.3799	1.25906
FBtr0347035	1072	893	0	0
FBtr0300689	1880	1670.37	38	1.01256
FBtr0300690	1802	1588.37	0	0
FBtr0330654	1844	1620.2	0	0
FBtr0078170	5248	4631.75	2830.99	27.2048
FBtr0078171	5391	4761.19	564.477	5.27695
FBtr0078166	5155	4539.07	987.459	9.68288
FBtr0078167	5230	4611.28	1.46729	0.0141627
FBtr0078168	5225	4607.93	64.8317	0.62623
FBtr0078169	5082	4479.7	119.328	1.18562
FBtr0306589	5315	4684.91	0.0265625	0.00025236
FBtr0306590	5179	4565.93	0.266057	0.00259356
FBtr0306591	5390	4753.79	1753.64	16.4192
FBtr0306592	5528	4880.24	202.076	1.843
FBtr0330655	5281	4658.73	188.438	1.80033
FBtr0113008	2629	2419.97	24.5186	0.450959
FBtr0309810	2230	2043.36	17.4814	0.380789
FBtr0078163	4350	4084	48.1949	0.525252
FBtr0078164	7227	6941.48	2.3676	0.0151813
FBtr0113416	4347	4052.44	0	0
FBtr0309225	6150	5874.4	0	0
FBtr0309227	3917	3619.17	0	0
FBtr0309228	7266	6900.44	0	0
FBtr0309229	7005	6714.78	0	0
FBtr0309226	6583	6354.58	10.4375	0.0731074
FBtr0345732	244	66.2053	2	1.34459
FBtr0345733	207	37.5845	0	0
FBtr0306539	4153	3832.29	0	0
FBtr0306536	3731	3502.93	1.65627e-06	2.10451e-08
FBtr0306538	3454	3235.61	3.85686e-06	5.30554e-08
FBtr0078100	4040	3733.6	429.793	5.1237
FBtr0306537	3789	3483.1	688.923	8.80352
FBtr0344052	2798	2309.58	181.841	3.50437
FBtr0344053	2686	2221.14	0	0
FBtr0306540	1430	1161.79	932.54	35.7266
FBtr0078101	1841	1570.59	279.244	7.91358
FBtr0302164	1458	1192.88	271.897	10.1451
FBtr0331680	1536	1275.95	204.951	7.14939
FBtr0301733	1694	1379.61	289.812	9.35003
FBtr0306541	1378	1158.14	6	0.230592
FBtr0290323	2225	1895.47	40.1143	0.941963
FBtr0330637	1662	1470.21	14.8857	0.450652
FBtr0078103	6476	5902.01	960	7.23975
FBtr0078104	1583	1417.61	884.211	27.762
FBtr0330636	1221	1067.65	129.761	5.40964
FBtr0301452	2551	2310.64	1049.03	20.2072
FBtr0089437	2387	2082.41	0	0
FBtr0308091	961	766.1	25.2032	1.46427
FBtr0089428	2184	1951.45	127.99	2.91925
FBtr0089429	2293	2007.53	0	0
FBtr0330656	2298	2002.03	64.8067	1.44079
FBtr0089432	2283	2045	104.363	2.27146
FBtr0089430	2380	2099.86	355.163	7.52817
FBtr0089431	2380	2099.32	7.62693e-08	1.61705e-09
FBtr0089433	2353	2065.12	84.6089	1.82357
FBtr0089434	2429	2143.02	100.321	2.08362
FBtr0089435	2309	2024.41	467.544	10.2796
FBtr0089436	1971	1696.37	0	0
FBtr0306542	657	478	0	0
FBtr0330638	678	499	0	0
FBtr0330639	586	407	0	0
FBtr0336838	818	639	0	0
FBtr0078160	1124	945	0	0
FBtr0100307	2749	2414.75	10.388	0.191475
FBtr0078157	2742	2446.35	16.5014	0.300231
FBtr0100308	2885	2555.85	0	0
FBtr0100309	2597	2311.34	2.77415	0.0534219
FBtr0330646	2457	2178.36	13.9428	0.284887
FBtr0078158	2656	2388.63	5.04477	0.0940035
FBtr0078156	2456	2182.28	82.3212	1.67901
FBtr0078159	4008	3652.82	3.02767	0.036892
FBtr0100310	2505	2243.03	0	0
FBtr0078154	2778	2542.8	7847.04	137.355
FBtr0100379	2864	2615.49	7838.61	133.395
FBtr0078153	2759	2520.47	165.541	2.92332
FBtr0078155	2845	2593.15	185.201	3.17884
FBtr0344032	1062	823.419	25.6014	1.38387
FBtr0300568	1699	1641.47	457.927	12.417
FBtr0078114	2176	2020.51	477.864	10.5268
FBtr0078115	2396	2243.79	67.2088	1.3332
FBtr0336836	727	469.296	1	0.094843
FBtr0336837	502	323	0	0
FBtr0346127	1014	823.833	3.07178	0.16596
FBtr0302194	2206	2047.2	0	0
FBtr0302196	2206	2047.2	0	0
FBtr0302195	1335	1183.27	302.928	11.3949
FBtr0330644	1380	1222.26	5665.56	206.315
FBtr0300987	1838	1655.13	320.531	8.61964
