target_id	length	eff_length	est_counts	tpm
FBtr0114187	445	193.698	1.89878	0.468165
FBtr0347033	1076	897	0	0
FBtr0114261	1994	1632.36	17.6554	0.516548
FBtr0114196	967	579.725	2.46771	0.203293
FBtr0114201	824	487.24	3.4207	0.335291
FBtr0114198	1110	931	0	0
FBtr0300146	1265	1086	0	0
FBtr0308947	1051	872	0	0
FBtr0114286	752	514.538	6.51704	0.604899
FBtr0114194	1697	1518	0	0
FBtr0114206	834	503.341	1.64615	0.156191
FBtr0114202	265	86.2066	0	0
FBtr0114205	1088	691.873	1.07006	0.073864
FBtr0114259	1975	1411.45	0	0
FBtr0114207	1134	897.934	0	0
FBtr0302344	264	85.2271	0	0
FBtr0114274	2099	1524.27	33.662	1.0547
FBtr0114208	549	334.949	6.64736	0.947807
FBtr0114209	569	354.236	151.645	20.4448
FBtr0114210	559	338.763	24.0185	3.38611
FBtr0114253	540	320.434	289.157	43.0967
FBtr0114284	524	270.015	0	0
FBtr0114214	740	523.091	14.8227	1.35332
FBtr0114211	566	347.841	0.00205864	0.00028265
FBtr0114283	1005	670.738	0	0
FBtr0114216	1012	833	0	0
FBtr0300167	1105	926	0	0
FBtr0300105	615	461.107	1	0.103573
FBtr0114218	506	310.042	38.7402	5.96748
FBtr0304147	435	256	0	0
FBtr0114222	530	266.95	32.2321	5.76644
FBtr0300161	1356	1177	0	0
FBtr0114275	1266	1016.67	4.95691	0.232851
FBtr0114285	462	283	0	0
FBtr0114223	838	612.704	4.61854	0.360001
FBtr0114280	575	354.084	576.999	77.825
FBtr0114257	1030	851	0	0
FBtr0300134	654	475	0	0
FBtr0114249	668	444.077	2014.53	216.653
FBtr0114262	1942	1763	0	0
FBtr0347010	1428	1249	0	0
FBtr0347034	740	561	0	0
FBtr0302352	348	169	0	0
FBtr0300141	1190	1011	0	0
FBtr0300139	1443	1264	0	0
FBtr0300138	1327	1148	0	0
FBtr0114228	765	551.495	1.81074	0.156806
FBtr0347035	1072	893	0	0
FBtr0300689	1880	1701	0	0
FBtr0300690	1802	1623	0	0
FBtr0330654	1844	1665	0	0
FBtr0078170	5248	4694.08	1606.9	16.3488
FBtr0078171	5391	4823.76	440.656	4.36278
FBtr0078166	5155	4597.98	0.0171768	0.000178412
FBtr0078167	5230	4673.04	2.50535e-05	2.56046e-07
FBtr0078168	5225	4669.74	3.68667e-07	3.77043e-09
FBtr0078169	5082	4539.41	779.244	8.19829
FBtr0306589	5315	4749.3	575.562	5.78778
FBtr0306590	5179	4627.68	207.851	2.14506
FBtr0306591	5390	4818.13	0.00636643	6.31055e-05
FBtr0306592	5528	4944.59	0.0274836	0.000265456
FBtr0330655	5281	4722.86	44.7405	0.452424
